2018-10-27 18:17:51,794 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/bhavin/Desktop/WebApp/Spring3Example/src/test/resources
2018-10-27 18:18:49,777 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-27 18:18:49,853 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-10-27 18:18:49,856 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-27 18:18:49,856 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/bhavin/Desktop/WebApp/Spring3Example/src/test/resources
2018-10-27 18:19:56,833 [Worker-27] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-10-27 18:20:13,096 [Worker-27] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.bhavin.core:Spring3Example:0.0.1-SNAPSHOT @ /Users/bhavin/Desktop/WebApp/Spring3Example/pom.xml.
2018-10-27 18:20:19,336 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Spring3Example/src/main/java
2018-10-27 18:20:19,378 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Spring3Example/src/main/resources
2018-10-27 18:20:19,379 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Spring3Example/src/test/java
2018-10-27 18:20:21,658 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Spring3Example
2018-10-27 18:20:22,076 [Worker-27] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 25 sec
2018-10-27 18:20:23,134 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-27 18:20:23,217 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-10-27 18:20:23,234 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-27 18:20:23,278 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/bhavin/Desktop/WebApp/Spring3Example/src/test/resources
2018-10-27 18:20:23,278 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Spring3Example
2018-10-27 18:20:23,278 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Spring3Example
2018-10-27 18:20:23,284 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-27 18:20:44,631 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2018-10-27 18:21:05,724 [Worker-12] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/bhavin/Desktop/WebApp/Spring3Example
2018-10-27 18:21:05,923 [Worker-12] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B 
2018-10-27 18:23:41,870 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/bhavin/Desktop/WebApp/Spring3Example
2018-10-27 18:23:41,944 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-10-27 18:24:21,613 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-27 18:24:21,813 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-10-27 18:24:21,815 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
